name,season,competition,nation,position,team,age,year_born,matches,starts,minutes,full_games,goals,assists,G+A,non-PK_goals,PK_goals,PK_att,yellow_cards,red_cards,xG,xG_nonpenalty,xGnp+xGA,xGA,progressive_carries,progressive_passes
Albert Grønbaek,24/25,Premier League,DEN,"FW,MF",Southampton,23,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.0,1,1
Gonçalo Guedes,24/25,Premier League,POR,"MF,FW",Wolves,27,1996,29,10,995,11.1,2,4,6,2,0,0,1,0,3.2,3.2,4.5,1.3,41,40
Marc Guéhi,24/25,Premier League,ENG,DF,Crystal Palace,24,2000,34,34,"3,059",34.0,3,2,5,3,0,0,9,1,2.0,2.0,3.7,1.8,22,134
Luis Guilherme,24/25,Premier League,BRA,"MF,FW",West Ham,18,2006,12,1,150,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.5,0.1,4,5
Bruno Guimarães,24/25,Premier League,BRA,MF,Newcastle Utd,26,1997,38,38,"3,271",36.3,5,6,11,5,0,0,7,0,4.3,4.3,10.4,6.1,64,271
Marc Guiu,24/25,Premier League,ESP,FW,Chelsea,18,2006,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
İlkay Gündoğan,24/25,Premier League,GER,MF,Manchester City,33,1990,33,25,"2,223",24.7,1,6,7,1,0,0,1,0,3.2,3.2,6.7,3.5,64,127
Malo Gusto,24/25,Premier League,FRA,DF,Chelsea,21,2003,32,19,"1,862",20.7,0,1,1,0,0,0,4,0,1.7,1.7,3.1,1.4,50,119
Joško Gvardiol,24/25,Premier League,CRO,DF,Manchester City,22,2002,37,36,"3,277",36.4,5,0,5,5,0,0,2,0,4.6,4.3,6.3,2.1,91,264
Erling Haaland,24/25,Premier League,NOR,FW,Manchester City,24,2000,31,31,"2,736",30.4,22,3,25,19,3,4,2,0,22.0,18.8,21.8,3.0,24,20
Lewis Hall,24/25,Premier League,ENG,DF,Newcastle Utd,19,2004,27,24,"2,189",24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.7,4.3,41,123
Ali Al Hamadi,24/25,Premier League,IRQ,FW,Ipswich Town,22,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.4,0.1,4,3
Marcus Harness,24/25,Premier League,ENG,MF,Ipswich Town,28,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2
Jack Harrison,24/25,Premier League,ENG,FW,Everton,27,1996,34,24,"2,076",23.1,1,0,1,1,0,0,0,0,3.5,3.5,7.2,3.7,73,51
Taylor Harwood-Bellis,24/25,Premier League,ENG,DF,Southampton,22,2002,34,32,"2,825",31.4,1,0,1,1,0,0,9,0,1.8,1.8,2.8,1.0,29,125
Kai Havertz,24/25,Premier League,GER,"FW,MF",Arsenal,25,1999,23,21,"1,875",20.8,9,3,12,9,0,0,5,0,9.5,9.5,12.0,2.4,35,61
Ayden Heaven,24/25,Premier League,ENG,DF,Manchester Utd,17,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.0,1,7
Jan Paul van Hecke,24/25,Premier League,NED,DF,Brighton,24,2000,34,33,"2,958",32.9,1,1,2,1,0,0,8,1,1.3,1.3,2.8,1.5,55,228
Hwang Hee-chan,24/25,Premier League,KOR,"MF,FW",Wolves,28,1996,21,5,661,7.3,2,0,2,2,0,0,0,0,0.8,0.8,0.9,0.1,15,12
Dean Henderson,24/25,Premier League,ENG,GK,Crystal Palace,27,1997,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0
Rico Henry,24/25,Premier League,ENG,DF,Brentford,27,1997,5,0,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4
Mads Hermansen,24/25,Premier League,DEN,GK,Leicester City,24,2000,27,27,"2,385",26.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1
Son Heung-min,24/25,Premier League,KOR,FW,Tottenham,32,1992,30,24,"2,110",23.4,7,9,16,6,1,2,1,0,7.2,5.7,13.9,8.2,96,111
James Hill,24/25,Premier League,ENG,DF,Bournemouth,22,2002,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.6,0.3,3,16
Jack Hinshelwood,24/25,Premier League,ENG,"MF,DF",Brighton,19,2005,26,22,"1,842",20.5,5,2,7,5,0,0,5,0,2.7,2.7,4.2,1.5,19,68
George Hirst,24/25,Premier League,SCO,FW,Ipswich Town,25,1999,26,5,661,7.3,3,1,4,3,0,0,3,0,2.1,2.1,2.5,0.3,9,13
Mason Holgate,24/25,Premier League,JAM,"FW,DF",Everton,27,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Harry Howell,24/25,Premier League,ENG,FW,Brighton,15,2008,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Callum Hudson-Odoi,24/25,Premier League,ENG,"FW,MF",Nott'ham Forest,23,2000,31,25,"2,194",24.4,5,2,7,5,0,0,2,0,2.5,2.5,5.2,2.7,130,71
Will Hughes,24/25,Premier League,ENG,MF,Crystal Palace,29,1995,33,24,"2,108",23.4,0,3,3,0,0,0,11,0,1.1,1.1,4.2,3.1,20,87
Dean Huijsen,24/25,Premier League,ESP,DF,Bournemouth,19,2005,32,26,"2,427",27.0,3,2,5,3,0,0,10,0,1.9,1.9,3.9,2.0,41,132
Omari Hutchinson,24/25,Premier League,ENG,"MF,FW",Ipswich Town,20,2003,31,30,"2,583",28.7,3,2,5,3,0,0,5,0,2.9,2.9,6.4,3.5,97,75
Rasmus Højlund,24/25,Premier League,DEN,FW,Manchester Utd,21,2003,32,23,"2,004",22.3,4,0,4,4,0,0,2,0,5.3,5.3,7.1,1.8,28,18
Igor,24/25,Premier League,BRA,DF,Brighton,26,1998,13,10,961,10.7,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,49
Danny Ings,24/25,Premier League,ENG,"FW,MF",West Ham,32,1992,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,3.5,1.3,6,5
Tim Iroegbunam,24/25,Premier League,ENG,MF,Everton,21,2003,18,5,574,6.4,0,1,1,0,0,0,4,0,0.2,0.2,0.4,0.2,8,15
Andy Irving,24/25,Premier League,SCO,MF,West Ham,24,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.2,0,9
Alexander Isak,24/25,Premier League,SWE,FW,Newcastle Utd,24,1999,34,34,"2,756",30.6,23,6,29,19,4,4,1,0,20.3,17.2,21.6,4.3,83,88
Alex Iwobi,24/25,Premier League,NGA,"FW,MF",Fulham,28,1996,38,35,"2,981",33.1,9,6,15,9,0,0,1,0,4.7,4.7,11.8,7.0,144,213
Nicolas Jackson,24/25,Premier League,SEN,FW,Chelsea,23,2001,30,28,"2,220",24.7,10,5,15,10,0,0,7,1,12.3,12.3,16.6,4.3,47,38
Reece James,24/25,Premier League,ENG,"DF,MF",Chelsea,24,1999,19,12,"1,063",11.8,1,1,2,1,0,0,1,0,0.4,0.4,1.1,0.7,7,64
Vitaly Janelt,24/25,Premier League,GER,MF,Brentford,26,1998,32,27,"2,254",25.0,1,3,4,1,0,0,3,0,0.8,0.8,3.0,2.2,17,80
Vitezslav Jaros,24/25,Premier League,CZE,GK,Liverpool,23,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Daniel Jebbison,24/25,Premier League,CAN,FW,Bournemouth,20,2003,16,0,119,1.3,1,0,1,1,0,0,1,0,1.0,1.0,1.2,0.2,4,3
Mathias Jensen,24/25,Premier League,DEN,MF,Brentford,28,1996,24,8,862,9.6,0,2,2,0,0,0,2,0,0.2,0.2,1.9,1.7,6,61
Gabriel Jesus,24/25,Premier League,BRA,FW,Arsenal,27,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,3.7,0.7,15,19
Raúl Jiménez,24/25,Premier League,MEX,FW,Fulham,33,1991,38,30,"2,494",27.7,12,3,15,9,3,3,4,0,12.0,9.6,12.9,3.3,35,62
Kim Jisoo,24/25,Premier League,KOR,DF,Brentford,19,2004,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2
João Pedro,24/25,Premier League,BRA,"FW,MF",Brighton,22,2001,27,23,"1,948",21.6,10,6,16,5,5,5,4,1,8.9,5.0,10.0,5.0,66,78
Joelinton,24/25,Premier League,BRA,"MF,FW",Newcastle Utd,27,1996,29,29,"2,393",26.6,4,3,7,4,0,0,10,0,3.9,3.9,6.4,2.5,40,116
Ben Johnson,24/25,Premier League,ENG,"DF,FW",Ipswich Town,24,2000,23,14,"1,354",15.0,1,2,3,1,0,0,5,1,1.1,1.1,2.3,1.3,16,27
Brennan Johnson,24/25,Premier League,WAL,FW,Tottenham,23,2001,33,24,"2,177",24.2,11,3,14,11,0,0,5,0,10.4,10.4,12.7,2.3,60,71
Sam Johnstone,24/25,Premier League,ENG,GK,Wolves,31,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Curtis Jones,24/25,Premier League,ENG,"MF,DF",Liverpool,23,2001,33,19,"1,712",19.0,3,3,6,3,0,0,3,1,4.3,4.3,5.4,1.1,30,117
Jorginho,24/25,Premier League,ITA,MF,Arsenal,32,1991,15,9,704,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.5,0.4,12,48
Diogo Jota,24/25,Premier League,POR,FW,Liverpool,27,1996,26,14,"1,196",13.3,6,3,9,6,0,0,2,0,7.9,7.9,9.8,1.8,37,34
James Justin,24/25,Premier League,ENG,DF,Leicester City,26,1998,36,34,"2,912",32.4,2,2,4,2,0,0,6,0,1.5,1.5,2.3,0.8,39,91
Filip Jørgensen,24/25,Premier League,DEN,GK,Chelsea,22,2002,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Ferdi Kadioglu,24/25,Premier League,TUR,"DF,MF",Brighton,24,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.6,0.2,1,15
Daichi Kamada,24/25,Premier League,JPN,MF,Crystal Palace,27,1996,34,15,"1,564",17.4,0,0,0,0,0,0,4,1,1.1,1.1,3.0,1.9,25,89
Boubacar Kamara,24/25,Premier League,FRA,MF,Aston Villa,24,1999,26,20,"1,726",19.2,1,0,1,1,0,0,2,0,0.8,0.8,1.7,0.9,19,85
Joachim Kayi Sanda,24/25,Premier League,FRA,DF,Southampton,17,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1
Michael Kayode,24/25,Premier League,ITA,DF,Brentford,20,2004,12,6,528,5.9,0,1,1,0,0,0,2,0,0.2,0.2,1.5,1.2,12,12
Michael Keane,24/25,Premier League,ENG,DF,Everton,31,1993,14,11,"1,049",11.7,3,0,3,3,0,0,5,0,0.6,0.6,0.7,0.1,1,14
Caoimhín Kelleher,24/25,Premier League,IRL,GK,Liverpool,25,1998,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Lloyd Kelly,24/25,Premier League,ENG,DF,Newcastle Utd,25,1998,10,4,303,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.9,0.5,0,9
Milos Kerkez,24/25,Premier League,HUN,DF,Bournemouth,20,2003,38,38,"3,336",37.1,2,5,7,2,0,0,4,0,0.6,0.5,4.4,3.9,106,159
Bilal El Khannouss,24/25,Premier League,MAR,"MF,FW",Leicester City,20,2004,32,27,"2,182",24.2,2,3,5,2,0,0,4,0,1.3,1.3,5.8,4.6,73,128
Abdukodir Khusanov,24/25,Premier League,UZB,DF,Manchester City,20,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25
Max Kilman,24/25,Premier League,ENG,DF,West Ham,27,1997,38,38,"3,348",37.2,0,1,1,0,0,0,5,0,1.6,1.6,2.8,1.2,31,113
Joshua King,24/25,Premier League,ENG,MF,Fulham,17,2007,8,1,130,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.7,0.4,3,9
Tom King,24/25,Premier League,WAL,GK,Wolves,29,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Antonín Kinský,24/25,Premier League,CZE,GK,Tottenham,21,2003,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1
Jakub Kiwior,24/25,Premier League,POL,DF,Arsenal,24,2000,17,10,"1,122",12.5,1,0,1,1,0,0,1,0,0.2,0.2,0.5,0.3,5,48
Justin Kluivert,24/25,Premier League,NED,MF,Bournemouth,25,1999,34,29,"2,340",26.0,12,6,18,6,6,6,8,0,10.3,5.6,10.5,4.8,81,105
Ibrahima Konaté,24/25,Premier League,FRA,DF,Liverpool,25,1999,31,30,"2,560",28.4,1,2,3,1,0,0,5,0,1.7,1.7,2.7,1.0,25,115
Ezri Konsa,24/25,Premier League,ENG,DF,Aston Villa,26,1997,34,33,"2,936",32.6,2,0,2,2,0,0,1,0,1.3,1.3,1.7,0.4,24,90
Mateo Kovačić,24/25,Premier League,CRO,MF,Manchester City,30,1994,31,25,"2,198",24.4,6,2,8,6,0,0,5,1,1.9,1.9,5.5,3.6,56,164
Caleb Kporha,24/25,Premier League,ENG,DF,Crystal Palace,18,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0
Emil Krafth,24/25,Premier League,SWE,DF,Newcastle Utd,29,1994,12,2,342,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,5,8
Mohammed Kudus,24/25,Premier League,GHA,"FW,MF",West Ham,23,2000,32,31,"2,590",28.8,5,3,8,5,0,0,2,1,6.9,6.9,10.0,3.1,98,79
Dejan Kulusevski,24/25,Premier League,SWE,"MF,FW",Tottenham,24,2000,32,27,"2,389",26.5,7,4,11,7,0,0,3,0,4.2,4.2,10.4,6.2,120,124
Maxence Lacroix,24/25,Premier League,FRA,DF,Crystal Palace,24,2000,35,35,"3,116",34.6,1,1,2,1,0,0,5,0,3.4,3.4,4.4,1.0,8,65
Adam Lallana,24/25,Premier League,ENG,MF,Southampton,36,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,1.1,0.9,6,24
Tariq Lamptey,24/25,Premier League,GHA,DF,Brighton,23,2000,15,10,860,9.6,2,2,4,2,0,0,0,0,0.4,0.4,1.2,0.8,32,14
Will Lankshear,24/25,Premier League,ENG,"FW,MF",Tottenham,19,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Roméo Lavia,24/25,Premier League,BEL,MF,Chelsea,20,2004,16,11,797,8.9,0,1,1,0,0,0,4,0,0.3,0.3,1.0,0.7,3,31
Mario Lemina,24/25,Premier League,GAB,"MF,DF",Wolves,30,1993,17,15,"1,364",15.2,1,3,4,1,0,0,4,0,1.4,1.4,2.5,1.1,8,48
Bernd Leno,24/25,Premier League,GER,GK,Fulham,32,1992,38,38,"3,420",38.0,0,1,1,0,0,0,5,0,0.0,0.0,0.1,0.1,0,0
Jefferson Lerma,24/25,Premier League,COL,"MF,DF",Crystal Palace,29,1994,33,26,"2,274",25.3,0,1,1,0,0,0,9,0,1.1,1.1,2.7,1.6,13,97
Rico Lewis,24/25,Premier League,ENG,"DF,MF",Manchester City,19,2004,28,21,"1,893",21.0,1,2,3,1,0,0,5,1,1.4,1.4,1.7,0.3,39,107
Keane Lewis-Potter,24/25,Premier League,ENG,"DF,FW",Brentford,23,2001,38,36,"3,093",34.4,1,3,4,1,0,0,7,0,3.1,3.1,6.3,3.2,98,98
Myles Lewis-Skelly,24/25,Premier League,ENG,DF,Arsenal,17,2006,23,15,"1,369",15.2,1,0,1,1,0,0,3,2,0.2,0.2,0.6,0.4,37,71
Matthijs de Ligt,24/25,Premier League,NED,DF,Manchester Utd,24,1999,29,25,"2,123",23.6,2,0,2,2,0,0,3,0,2.5,2.5,2.8,0.3,7,55
Pedro Lima,24/25,Premier League,BRA,DF,Wolves,18,2006,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4
Victor Lindelöf,24/25,Premier League,SWE,DF,Manchester Utd,30,1994,16,6,704,7.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,26
Jesper Lindstrøm,24/25,Premier League,DEN,FW,Everton,24,2000,25,15,"1,239",13.8,0,1,1,0,0,0,2,0,2.1,2.1,4.1,2.0,30,25
Valentino Livramento,24/25,Premier League,ENG,DF,Newcastle Utd,21,2002,37,32,"2,840",31.6,0,1,1,0,0,0,1,0,0.3,0.3,2.9,2.6,83,158
Sean Longstaff,24/25,Premier League,ENG,MF,Newcastle Utd,26,1997,25,8,798,8.9,0,0,0,0,0,0,2,0,0.6,0.6,0.8,0.2,4,40
Saša Lukić,24/25,Premier League,SRB,MF,Fulham,27,1996,30,28,"2,344",26.0,0,2,2,0,0,0,12,0,1.2,1.2,3.9,2.7,39,98
Joe Lumley,24/25,Premier League,ENG,GK,Southampton,29,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Massimo Luongo,24/25,Premier League,AUS,MF,Ipswich Town,31,1992,11,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6
Ian Maatsen,24/25,Premier League,NED,DF,Aston Villa,22,2002,29,10,"1,139",12.7,1,2,3,1,0,0,2,0,0.9,0.9,3.6,2.7,31,50
Alexis Mac Allister,24/25,Premier League,ARG,MF,Liverpool,25,1998,35,30,"2,599",28.9,5,5,10,5,0,0,6,0,2.8,2.8,7.5,4.7,36,177
James Maddison,24/25,Premier League,ENG,MF,Tottenham,27,1996,31,21,"1,809",20.1,9,7,16,9,0,0,6,0,5.8,5.8,10.0,4.2,45,164
Noni Madueke,24/25,Premier League,ENG,FW,Chelsea,22,2002,32,27,"2,033",22.6,7,3,10,7,0,0,3,0,9.6,9.6,13.9,4.2,154,69
Gabriel Magalhães,24/25,Premier League,BRA,DF,Arsenal,26,1997,28,28,"2,363",26.3,3,1,4,3,0,0,4,0,2.6,2.6,3.5,0.9,10,126
Edmond-Paris Maghoma,24/25,Premier League,ENG,"MF,FW",Brentford,23,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,4,13
Harry Maguire,24/25,Premier League,ENG,DF,Manchester Utd,31,1993,27,19,"1,758",19.5,1,0,1,1,0,0,7,0,1.8,1.8,2.4,0.6,7,51
Kobbie Mainoo,24/25,Premier League,ENG,MF,Manchester Utd,19,2005,25,19,"1,651",18.3,0,0,0,0,0,0,5,0,0.7,0.7,2.3,1.6,22,65
Tyrell Malacia,24/25,Premier League,NED,DF,Manchester Utd,24,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3
Donyell Malen,24/25,Premier League,NED,FW,Aston Villa,25,1999,14,2,305,3.4,3,0,3,3,0,0,0,0,2.2,2.2,2.4,0.2,12,6
Mateus Mane,24/25,Premier League,,MF,Wolves,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Orel Mangala,24/25,Premier League,BEL,MF,Everton,26,1998,19,14,"1,261",14.0,1,0,1,1,0,0,2,0,1.1,1.1,1.8,0.6,6,34
Ryan Manning,24/25,Premier League,IRL,"DF,MF",Southampton,28,1996,24,18,"1,462",16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.6,3.2,14,35
Solly March,24/25,Premier League,ENG,"FW,MF",Brighton,30,1994,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.3,5,2
Omar Marmoush,24/25,Premier League,EGY,"FW,MF",Manchester City,25,1999,16,14,"1,175",13.1,7,0,7,7,0,0,0,0,5.5,5.5,8.3,2.8,29,37
Gabriel Martinelli,24/25,Premier League,BRA,"FW,MF",Arsenal,23,2001,33,25,"2,290",25.4,8,4,12,8,0,0,1,0,7.4,7.4,12.4,5.0,124,52
Emiliano Martínez,24/25,Premier League,ARG,GK,Aston Villa,31,1992,37,37,"3,194",35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4
Lisandro Martínez,24/25,Premier League,ARG,DF,Manchester Utd,26,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,2.4,1.1,23,117
Pape Matar Sarr,24/25,Premier League,SEN,MF,Tottenham,21,2002,36,22,"1,913",21.3,3,2,5,3,0,0,6,0,3.7,3.7,5.3,1.6,33,88
Jean-Philippe Mateta,24/25,Premier League,FRA,FW,Crystal Palace,27,1997,37,33,"2,648",29.4,14,2,16,12,2,2,2,0,13.5,11.9,15.1,3.2,45,52
Stephy Mavididi,24/25,Premier League,ENG,FW,Leicester City,26,1998,30,16,"1,615",17.9,4,1,5,4,0,0,2,0,1.8,1.8,4.4,2.6,91,57
Konstantinos Mavropanos,24/25,Premier League,GRE,DF,West Ham,26,1997,33,21,"2,045",22.7,0,0,0,0,0,0,6,1,1.5,1.5,2.0,0.5,17,61
Noussair Mazraoui,24/25,Premier League,MAR,DF,Manchester Utd,26,1997,37,34,"2,838",31.5,0,1,1,0,0,0,3,0,0.7,0.7,2.2,1.5,42,115
Bryan Mbeumo,24/25,Premier League,CMR,FW,Brentford,24,1999,38,38,"3,414",37.9,20,7,27,15,5,6,3,0,12.3,7.5,15.9,8.3,130,141
James Mcatee,24/25,Premier League,ENG,"MF,FW",Manchester City,21,2002,15,3,349,3.9,3,0,3,3,0,0,1,0,2.8,2.8,3.3,0.5,7,7
Kasey McAteer,24/25,Premier League,IRL,FW,Leicester City,22,2001,18,9,852,9.5,1,1,2,1,0,0,3,0,1.0,1.0,1.7,0.7,19,14
Alex McCarthy,24/25,Premier League,ENG,GK,Southampton,34,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
John McGinn,24/25,Premier League,SCO,"MF,FW",Aston Villa,29,1994,34,27,"2,223",24.7,1,4,5,1,0,0,7,0,3.1,2.8,6.3,3.5,32,103
Dwight McNeil,24/25,Premier League,ENG,"MF,FW",Everton,24,1999,21,15,"1,371",15.2,4,6,10,4,0,0,1,0,1.1,1.1,6.3,5.2,38,69
Scott McTominay,24/25,Premier League,SCO,MF,Manchester Utd,27,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.0,0,1
Ben Mee,24/25,Premier League,ENG,DF,Brentford,34,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11
Jayden Meghoma,24/25,Premier League,ENG,DF,Brentford,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Mikel Merino,24/25,Premier League,ESP,"MF,FW",Arsenal,28,1996,28,17,"1,586",17.6,7,2,9,7,0,0,4,1,5.9,5.9,7.9,2.0,11,69
Shumaira Mheuka,24/25,Premier League,ENG,MF,Chelsea,16,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.0,0,0
Nikola Milenković,24/25,Premier League,SRB,DF,Nott'ham Forest,26,1997,37,37,"3,330",37.0,5,2,7,5,0,0,4,0,4.0,4.0,5.1,1.1,3,51
Lewis Miley,24/25,Premier League,ENG,MF,Newcastle Utd,18,2006,14,1,313,3.5,1,0,1,1,0,0,0,0,0.5,0.5,0.6,0.0,2,17
James Milner,24/25,Premier League,ENG,MF,Brighton,38,1986,4,3,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.2,1,10
Tyrone Mings,24/25,Premier League,ENG,DF,Aston Villa,31,1993,14,12,"1,120",12.4,0,0,0,0,0,0,1,0,0.8,0.8,1.0,0.2,7,40
Yankuba Minteh,24/25,Premier League,GAM,"FW,MF",Brighton,20,2004,32,20,"1,838",20.4,6,4,10,6,0,0,6,0,4.1,4.1,9.1,5.0,90,48
Tyrick Mitchell,24/25,Premier League,ENG,DF,Crystal Palace,24,1999,37,37,"3,092",34.4,0,5,5,0,0,0,2,0,1.3,1.3,7.7,6.4,63,70
Kaoru Mitoma,24/25,Premier League,JPN,"FW,MF",Brighton,27,1997,36,28,"2,603",28.9,10,4,14,10,0,0,1,0,9.2,9.2,13.8,4.6,146,89
Jakub Moder,24/25,Premier League,POL,MF,Brighton,25,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4
Jeremy Monga,24/25,Premier League,,"FW,MF",Leicester City,,,7,0,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.0,6,3
Mikey Moore,24/25,Premier League,ENG,FW,Tottenham,16,2007,10,3,366,4.1,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.3,12,9
Morato,24/25,Premier League,BRA,DF,Nott'ham Forest,23,2001,26,6,907,10.1,0,0,0,0,0,0,5,0,0.2,0.2,0.2,0.0,1,19
Álex Moreno,24/25,Premier League,ESP,"DF,MF",Nott'ham Forest,31,1993,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.4,1.3,26,34
Sam Morsy,24/25,Premier League,EGY,MF,Ipswich Town,32,1991,33,31,"2,751",30.6,1,1,2,1,0,0,10,0,0.4,0.4,1.6,1.2,22,120
Yerson Mosquera,24/25,Premier League,COL,DF,Wolves,23,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.1,0,7
Mason Mount,24/25,Premier League,ENG,MF,Manchester Utd,25,1999,17,8,622,6.9,1,0,1,1,0,0,3,0,3.2,3.2,3.8,0.6,15,33
Divin Mubama,24/25,Premier League,ENG,FW,Manchester City,19,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1
Mykhailo Mudryk,24/25,Premier League,UKR,FW,Chelsea,23,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.2,1.0,7,5
Marshall Munetsi,24/25,Premier League,ZIM,"MF,FW",Wolves,28,1996,14,12,"1,078",12.0,2,1,3,2,0,0,0,0,3.3,3.3,5.1,1.8,9,10
Rodrigo Muniz,24/25,Premier League,BRA,FW,Fulham,23,2001,31,8,964,10.7,8,1,9,8,0,0,1,0,5.8,5.8,6.5,0.7,6,27
Daniel Muñoz,24/25,Premier League,COL,DF,Crystal Palace,28,1996,37,37,"3,228",35.9,4,5,9,4,0,0,10,0,4.9,4.9,10.5,5.5,62,97
Arijanet Muric,24/25,Premier League,KVX,GK,Ipswich Town,25,1998,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1
Murillo,24/25,Premier League,BRA,DF,Nott'ham Forest,22,2002,36,36,"3,188",35.4,2,0,2,2,0,0,6,0,1.4,1.4,2.6,1.2,22,115
Jacob Murphy,24/25,Premier League,ENG,FW,Newcastle Utd,29,1995,35,31,"2,360",26.2,8,12,20,8,0,0,4,0,5.7,5.7,14.6,8.9,79,83
Vitaliy Mykolenko,24/25,Premier League,UKR,DF,Everton,25,1999,35,35,"3,082",34.2,1,2,3,1,0,0,4,0,0.5,0.5,3.1,2.6,33,110
Iliman Ndiaye,24/25,Premier League,SEN,FW,Everton,24,2000,33,29,"2,430",27.0,9,0,9,7,2,2,3,0,6.2,4.7,6.5,1.9,86,59
Wilfred Ndidi,24/25,Premier League,NGA,MF,Leicester City,27,1996,28,28,"2,324",25.8,0,5,5,0,0,0,8,0,2.0,2.0,3.9,1.9,18,70
Kosta Nedeljković,24/25,Premier League,SRB,DF,Aston Villa,18,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6
